,url,has ads
4008,fireeye.com,TRUE
4010,abril.com.br,TRUE
4011,tue.nl,TRUE
4012,kennasecurity.com,TRUE
4013,retargetly.com,TRUE
4014,nalog.ru,TRUE
4015,replit.com,TRUE
4017,kb4compliance.com,TRUE
4022,rosneft.ru,TRUE
4025,startribune.com,TRUE
4027,harpersbazaar.com,TRUE
4028,shopee.co.th,TRUE
4030,smallpdf.com,TRUE
4032,mainichi.jp,TRUE
4036,mojohost.com,TRUE
4037,ebay.com.au,TRUE
4042,gotoassist.com,TRUE
4046,chosun.com,TRUE
4048,samsungads.com,TRUE
4054,clmbtech.com,TRUE
4055,collinsdictionary.com,TRUE
4056,cpanel.com,TRUE
4057,ge.com,TRUE
4062,aviasales.com,TRUE
4065,web.app,TRUE
4071,hover.com,TRUE
4077,index.hu,TRUE
4083,everydayhealth.com,TRUE
4084,iq.com,TRUE
4085,pg.com,TRUE
4087,self.com,TRUE
4092,anu.edu.au,TRUE
4095,metlife.com,TRUE
4100,cafe24.com,TRUE
4104,reference.com,TRUE
4105,zalo.me,TRUE
4109,supapush.net,TRUE
4113,senderscore.com,TRUE
4116,tinypic.com,TRUE
4118,utdallas.edu,TRUE
4121,transip.nl,TRUE
4123,bluecore.com,TRUE
4125,trellix.com,TRUE
4127,onefootball.com,TRUE
4128,value-domain.com,TRUE
4132,techrepublic.com,TRUE
4134,otzovik.com,TRUE
4135,nifty.com,TRUE
4136,ada.support,TRUE
4142,wired.co.uk,TRUE
4151,20minutes.fr,TRUE
4156,segmento.ru,TRUE
4157,penguinrandomhouse.com,TRUE
4158,c6gj-static.net,TRUE
4160,priceline.com,TRUE
4164,realme.com,TRUE
4168,buzzfeednews.com,TRUE
4169,adfox.ru,TRUE
4170,travelandleisure.com,TRUE
4172,riskified.com,TRUE
4179,arcpublishing.com,TRUE
4181,eatingwell.com,TRUE
4182,cargurus.com,TRUE
4188,byu.edu,TRUE
4189,premierleague.com,TRUE
4196,uefa.com,TRUE
4201,farfetch.com,TRUE
4203,business-standard.com,TRUE
4204,terabox.com,TRUE
4205,lululemon.com,TRUE
4206,omnatuor.com,TRUE
4209,aaa.com,TRUE
4215,turo.com,TRUE
4217,gazeta.pl,TRUE
4218,wanadoo.fr,TRUE
4223,prtimes.jp,TRUE
4226,csmonitor.com,TRUE
4241,ahagamecenter.com,TRUE
4242,box.net,TRUE
4244,tradedoubler.com,TRUE
4245,ct.gov,TRUE
4246,openweathermap.org,TRUE
4257,theathletic.com,TRUE
4258,publpush.com,TRUE
4259,mywot.com,TRUE
4264,ally.com,TRUE
4267,survicate.com,TRUE
4279,pantip.com,TRUE
4283,brevo.com,TRUE
4286,sina.cn,TRUE
4289,cylance.com,TRUE
4298,popsugar.com,TRUE
4299,bradesco.com.br,TRUE
4302,r01.ru,TRUE
4303,pagesix.com,TRUE
4316,doxygen.org,TRUE
4329,icicibank.com,TRUE
4336,findagrave.com,TRUE
4342,pingdom.net,TRUE
4346,leetcode.com,TRUE
4350,lastampa.it,TRUE
4355,tnaflix.com,TRUE
4365,gq.com,TRUE
4367,zappos.com,TRUE
4373,radiofrance.fr,TRUE
4374,warthunder.com,TRUE
4376,lufthansa.com,TRUE
4378,panorama9.com,TRUE
4379,nationalacademies.org,TRUE
4385,freep.com,TRUE
4386,ama-assn.org,TRUE
4392,kick.com,TRUE
4396,mariadb.org,TRUE
4400,rfi.fr,TRUE
4401,meteofrance.com,TRUE
4407,pepepush.net,TRUE
4409,todoist.com,TRUE
4411,insurads.com,TRUE
4412,treehugger.com,TRUE
4423,gamer.com.tw,TRUE
4427,convertkit.com,TRUE
4430,booth.pm,TRUE
4433,raiffeisen.ru,TRUE
4434,wetteronline.de,TRUE
4435,domain.com,TRUE
4436,searchenginejournal.com,TRUE
4437,dazn.com,TRUE
4438,justgiving.com,TRUE
4440,bongacams.com,TRUE
4450,yieldlab.net,TRUE
4451,playtika.com,TRUE
4457,cdn4image.com,TRUE
4460,ebay.ca,TRUE
4463,edmunds.com,TRUE
4469,skyscanner.net,TRUE
4482,appnext.com,TRUE
4486,azcentral.com,TRUE
4489,kompas.com,TRUE
4500,uq.edu.au,TRUE
4501,bb.com.br,TRUE
4502,sundaysky.com,TRUE
4505,matchtv.ru,TRUE
4509,refinery29.com,TRUE
4516,gazeta.ru,TRUE
4518,ajax.systems,TRUE
4525,thinkwithgoogle.com,TRUE
4526,intelbras.com.br,TRUE
4527,sketchup.com,TRUE
4530,telecomitalia.it,TRUE
4532,vizio.com,TRUE
4533,tractorsupply.com,TRUE
4535,feednews.com,TRUE
4536,binance.info,TRUE
4538,in.gov,TRUE
4541,europapress.es,TRUE
4547,ana.co.jp,TRUE
4548,salesforce-sites.com,TRUE
4550,mtv.com,TRUE
4551,qvc.com,TRUE
4557,liongard.com,TRUE
4564,narvar.com,TRUE
4566,lequipe.fr,TRUE
4567,oppo.com,TRUE
4569,nd.edu,TRUE
4570,cableone.net,TRUE
4571,rit.edu,TRUE
4576,nuance.com,TRUE
4585,upi.com,TRUE
4587,worldtimeserver.com,TRUE
4590,uic.edu,TRUE
4593,seek.com.au,TRUE
4597,propublica.org,TRUE
4603,shareasale.com,TRUE
4607,gpo.gov,TRUE
4608,aliexpress.us,TRUE
4611,domaintools.com,TRUE
4612,knowyourmeme.com,TRUE
4615,apachelounge.com,TRUE
4616,test.com,TRUE
4617,f2pool.com,TRUE
4619,buzzoola.com,TRUE
4620,boingboing.net,TRUE
4622,directnic.com,TRUE
4628,nationalpost.com,TRUE
4630,e-recht24.de,TRUE
4632,pearson.com,TRUE
4635,livechat.com,TRUE
4637,pravda.ru,TRUE
4643,easports.com,TRUE
4645,ubs.com,TRUE
4649,zazzle.com,TRUE
4650,youdao.com,TRUE
4657,benzinga.com,TRUE
4661,mentalfloss.com,TRUE
4662,boardgamegeek.com,TRUE
4665,turbify.com,TRUE
4668,copart.com,TRUE
4669,eater.com,TRUE
4673,usp.br,TRUE
4677,eclipse.org,TRUE
4678,desjardins.com,TRUE
4679,tn.gov,TRUE
4686,zee5.com,TRUE
4687,rustdesk.com,TRUE
4689,netshoes.com.br,TRUE
4695,rd.com,TRUE
4696,hellomagazine.com,TRUE
4698,yandex.by,TRUE
4699,amazon.se,TRUE
4700,buffalo.edu,TRUE
4701,linewize.net,TRUE
4702,harborfreight.com,TRUE
4703,hatenablog.com,TRUE
4706,bluewin.ch,TRUE
4709,westernunion.com,TRUE
4711,mass.gov,TRUE
4712,freshworks.com,TRUE
4713,rapidssl.com,TRUE
4715,chinaz.com,TRUE
4720,honda.com,TRUE
4722,viglink.com,TRUE
4730,pushd.com,TRUE
4731,moma.org,TRUE
4746,actionverb.com,TRUE
4750,trafficjunky.com,TRUE
4751,cdn.house,TRUE
4753,buienradar.nl,TRUE
4754,mobilityware.com,TRUE
4756,turnitin.com,TRUE
4757,insiderintelligence.com,TRUE
4760,heroku.com,TRUE
4765,nber.org,TRUE
4767,liveabout.com,TRUE
4769,mlive.com,TRUE
4770,globalsign.net,TRUE
4772,canadiantire.ca,TRUE
4773,deccanherald.com,TRUE
4777,nate.com,TRUE
4797,farpost.ru,TRUE
4798,ucsc.edu,TRUE
4801,sberbank-tele.com,TRUE
4802,formstack.com,TRUE
4805,247sports.com,TRUE
4810,prosv.ru,TRUE
4813,appfolio.com,TRUE
4814,uh.edu,TRUE
4815,caranddriver.com,TRUE
4818,walmart.ca,TRUE
4820,tiny.cc,TRUE
4822,sharechat.com,TRUE
4823,dhgate.com,TRUE
4824,goto.com,TRUE
4829,ankr.com,TRUE
4830,amung.us,TRUE
4831,castbox.fm,TRUE
4833,rome2rio.com,TRUE
4834,amazon.ae,TRUE
4835,mango-office.ru,TRUE
4838,infura.io,TRUE
4843,bidease.com,TRUE
4844,postimg.cc,TRUE
4846,tango.me,TRUE
4848,ivideon.com,TRUE
4850,bhg.com,TRUE
4851,wondershare.com,TRUE
4852,eufylife.com,TRUE
4853,psychcentral.com,TRUE
4854,hyundai.com,TRUE
4856,cafebazaar.ir,TRUE
4862,aig.com,TRUE
4867,economictimes.com,TRUE
4870,blick.ch,TRUE
4871,theage.com.au,TRUE
4873,softbank.jp,TRUE
4874,aptoide.com,TRUE
4877,adcolony.com,TRUE
4880,marthastewart.com,TRUE
4881,samhsa.gov,TRUE
4885,acast.com,TRUE
4887,drudgereport.com,TRUE
4892,cbs.com,TRUE
4893,michigan.gov,TRUE
4895,inquirer.com,TRUE
4899,athemes.com,TRUE
4900,lalapush.com,TRUE
4903,pushpong.net,TRUE
4904,global-e.com,TRUE
4905,zaloapp.com,TRUE
4915,manchester.ac.uk,TRUE
4916,redis.io,TRUE
4921,megaphone.fm,TRUE
4924,iseeme.com,TRUE
4927,we.tl,TRUE
4931,jivo.ru,TRUE
4934,royalsocietypublishing.org,TRUE
4935,sage.com,TRUE
4937,vjav.com,TRUE
4938,linkr.bio,TRUE
4939,scotiabank.com,TRUE
4941,chrome.com,TRUE
4942,vistaprint.com,TRUE
4947,mangadex.org,TRUE
4950,clemson.edu,TRUE
4963,ksu.edu.sa,TRUE
4964,serverwatch.com,TRUE
4965,spanishdict.com,TRUE
4971,xham.live,TRUE
4974,axis.com,TRUE
4977,magento.com,TRUE
4978,nanoleaf.me,TRUE
4979,mathway.com,TRUE
4980,infobip.com,TRUE
4981,haaretz.com,TRUE
4982,register.it,TRUE
4984,sandiegouniontribune.com,TRUE
4986,channelnewsasia.com,TRUE
4989,insales.ru,TRUE
4990,msdmanuals.com,TRUE
4995,appdynamics.com,TRUE
4998,webnode.com,TRUE
4999,ebay.fr,TRUE
5006,correios.com.br,TRUE
5008,ropro.io,TRUE
5012,swarovski.com,TRUE
5020,filezilla-project.org,TRUE
5022,datastax.com,TRUE
5024,yandex.com.tr,TRUE
5025,habr.com,TRUE
5031,ameriprise.com,TRUE
5033,stockx.com,TRUE
5034,thescore.com,TRUE
5036,sicredi.com.br,TRUE
5037,usbank.com,TRUE
5043,novofon.com,TRUE
5051,zerohedge.com,TRUE
5052,oregonlive.com,TRUE
5054,tmdb.org,TRUE
5056,kotaku.com,TRUE
5057,signupgenius.com,TRUE
5063,hsn.com,TRUE
5064,alamy.com,TRUE
5066,military.com,TRUE
5073,homes.com,TRUE
5074,corel.com,TRUE
5077,real.com,TRUE
5080,tv-asahi.co.jp,TRUE
5082,wolfram.com,TRUE
5083,tv2.no,TRUE
5084,safeway.com,TRUE
5086,ora.com,TRUE
5087,nag.ru,TRUE
5091,walmart.com.mx,TRUE
5092,wordfence.com,TRUE
5095,s7.ru,TRUE
5097,sysco.com,TRUE
5101,rat.xxx,TRUE
5103,servicewebly.com,TRUE
5104,mercadopago.com,TRUE
5105,excite.co.jp,TRUE
5110,staples.com,TRUE
5118,odnoklassniki.ru,TRUE
